"hostname","timestamp","city","region_name","country_name","browser"
"sphinx.cs.umn.edu","2012-09-28 12:13:18","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"sphinx.cs.umn.edu","2012-09-28 12:13:33","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"sphinx.cs.umn.edu","2012-09-28 12:14:42","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"hecto.cs.umn.edu","2012-09-29 10:51:50","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"hecto.cs.umn.edu","2012-09-29 12:28:23","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"hecto.cs.umn.edu","2012-09-29 19:33:50","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"hecto.cs.umn.edu","2012-09-29 19:35:15","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-29 22:09:20","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
"hecto.cs.umn.edu","2012-10-01 16:40:20","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-10-01 20:49:41","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-10-01 21:49:34","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
